"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","62/6158","72/10623",0.861111111111111,1.48547959294143,4.85403244667214,2.25093827020976e-07,7.58325805594938e-07,1.70229363306614e-07,"241113/74205/16367/72674/20183/23797/20869/26420/216739/20528/20848/14377/68401/12702/18976/18035/11651/26419/74551/105787/19013/12895/19082/11450/328845/12894/19697/16452/12675/433256/18761/22030/20181/18534/18033/16847/108079/20525/21938/56717/12491/108099/19017/26414/100705/19079/19247/207565/16846/109648/68465/21937/11652/18036/384783/16150/14081/11604/94180/16151/16370/50790",62
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","62/6158","72/10623",0.861111111111111,1.48547959294143,4.85403244667214,2.25093827020976e-07,7.58325805594938e-07,1.70229363306614e-07,"23797/67112/17873/26396/16000/17246/12567/13649/14172/11651/13557/23882/27015/18708/14165/14180/19645/18591/26413/12018/12575/14164/18596/12015/19211/107986/14178/13555/18706/14173/54635/18176/13645/18710/242705/18707/12571/15234/14176/18590/17295/109880/13197/17342/110157/64654/16653/11652/56636/16001/14174/14170/12443/14182/80857/18709/12550/71785/26395/74769/11836/80903",62
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","98/6158","123/10623",0.796747967479675,1.37444846679711,4.90526214900418,2.63841464836618e-07,8.78499585881045e-07,1.97206034749575e-07,"226849/52717/12534/16000/12323/432530/67579/103583/19052/21402/22627/217232/66156/104111/22630/26932/12313/26931/70405/268697/12325/19057/78803/22631/11514/56438/29857/11512/105988/11515/26413/224129/20112/51792/268930/16440/26416/26415/21770/72415/12314/52563/12532/12322/19045/225849/208922/12234/20874/13006/241634/17222/54401/108058/19055/18749/17451/12448/19059/66440/107995/20111/71890/19046/22629/231207/52206/19047/434233/56317/59008/22628/50878/17120/26965/56150/16438/16439/12315/12447/16001/12877/75430/18817/69957/19053/18747/11513/18667/73699/75600/26395/12442/69010/11835/67071/24061/110651",98
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","72/6158","86/10623",0.837209302325581,1.44424722614561,4.85766677183843,2.65828404949596e-07,8.78499585881045e-07,1.97206034749575e-07,"22145/15559/14816/14609/12534/26396/14672/432530/13649/23939/18750/14784/104318/104111/20663/22151/73710/13488/239134/15558/11514/18591/11512/22143/22142/11515/26413/224129/16440/20662/26405/18596/67951/18797/14682/19091/11554/227613/18796/18795/18798/20779/14683/545486/54635/54195/18176/14679/13645/18749/14745/14677/19092/18590/16438/110157/22144/16653/22147/16439/21872/18751/18747/11513/22152/234889/71785/13489/23938/26395/14678/15560",72
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","88/6158","109/10623",0.807339449541284,1.39271954733307,4.83976239036912,3.56670941029464e-07,1.16759260884174e-06,2.62101783874681e-07,"17087/20846/12043/16153/16782/226519/23797/21808/16780/68652/15979/16773/16775/15978/16160/15944/26420/16145/54396/26397/104709/18126/20848/26399/16777/30955/18035/21809/11651/105675/26419/66513/29857/266632/12265/12703/26413/16155/15980/18607/26416/26415/15001/14998/15002/14969/15511/16772/16774/19697/12015/16452/12675/23928/16403/22034/12048/21939/16776/16159/24088/14679/18033/26409/21898/16451/12371/14677/26414/13063/11689/21937/21803/11652/18036/16150/12367/14681/16412/11797/11796/54721/16835/15481/14678/11798/16179/16151",88
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","58/6158","67/10623",0.865671641791045,1.49334684162817,4.75720998776512,3.7729579130208e-07,1.22356672506375e-06,2.74666882010368e-07,"56752/15275/216019/18641/56012/103988/11670/11671/13808/11676/14377/68401/13382/79459/56421/14120/14121/68263/74551/18642/106557/319625/433182/110695/67689/73458/621603/17330/18648/226265/60525/18534/11529/11522/11532/18598/72535/230163/353204/72157/58810/13806/66681/11669/12183/15277/13807/21991/14433/16832/14751/16828/11674/235339/72141/18746/18655/18597",58
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","55/6158","63/10623",0.873015873015873,1.50601617717564,4.73058637015579,4.12720228831466e-07,1.3260548093011e-06,2.97673459391116e-07,"68393/227333/56752/28169/13139/11671/56077/14245/67216/217480/218121/19012/380921/13350/110197/68262/55979/193742/64898/225010/14625/110695/16891/225913/14732/69060/18946/18947/67512/104418/215456/64899/72535/67916/58810/14626/231510/110524/11669/11677/14187/67861/11997/320127/69923/23945/67800/233549/66853/52123/102247/71910/16956/15450/14933",55
"Organismal Systems","Nervous system","mmu04721","Synaptic vesicle cycle","65/6158","77/10623",0.844155844155844,1.45623051842604,4.71843602768639,5.51944582354717e-07,1.75710798235859e-06,3.94436495357306e-07,"108664/116837/338375/103967/216227/20979/22318/71770/67300/11975/18195/68775/73834/12890/74325/20512/66335/11773/11964/11984/11974/66237/74915/240332/225644/27060/20908/20510/12287/13429/20910/20511/20614/22249/12757/66290/242607/14664/114143/12889/21871/13852/20907/66144/140494/76252/232333/11973/14412/14411/108124/232910/11771/72961/104245/56216/11772/110877/19339/382018/12286/11972/13430/235415/208898",65
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","186/6158","256/10623",0.7265625,1.25337340654433,4.81910870748673,5.72456899423906e-07,1.80584131000087e-06,4.05376177582479e-07,"16177/12912/12767/19225/14103/23797/22033/14708/26396/14672/17246/56480/12567/432530/13649/12928/20296/20293/20304/72508/20848/16416/18750/14674/26399/14784/104111/19878/18035/20663/12313/11651/70405/14706/13557/19766/18708/14702/73181/19229/19057/19645/19219/17869/11514/14083/11911/29857/11512/20683/11515/26413/12929/224129/56637/16155/22084/64337/12018/16440/26416/26415/12575/21356/14972/21355/12915/14964/14980/15013/110557/110558/15007/15042/15040/100529082/667977/15043/14985/110696/224753/224754/224761/399549/22339/20662/12314/19877/72512/18018/58988/19697/18797/14682/14102/12675/22030/64930/11909/16410/26427/18796/14827/12010/16176/18795/18798/13555/20779/18019/14683/18706/213498/16194/78284/18176/14679/18033/19055/18749/19059/14700/15977/230396/16451/108802/18710/242705/12371/56717/18707/14688/12571/14677/19744/16193/19303/14673/19353/66066/208647/13063/231991/67653/14701/16438/110157/20315/12122/14695/21937/16653/16439/14709/12315/16801/11652/54131/75547/18751/14082/12443/16150/13685/12367/18709/18747/12317/100503710/11513/14681/20312/18021/12927/69632/75600/26395/14697/74769/14678/11848/12387/12768/12771/13712/16151",186
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","72/6158","87/10623",0.827586206896552,1.42764668331635,4.70347795322074,6.67418146192112e-07,2.08643330386183e-06,4.68363611362886e-07,"15926/111175/74205/19298/56535/18634/70503/72129/216739/19193/18126/103737/11430/19300/69123/23986/93732/56794/28200/13850/17117/20524/26874/93734/20655/20656/26378/224824/67993/22436/15488/54683/433256/12908/18633/12359/26458/15112/59038/19302/58869/68603/18632/56185/19299/20280/18477/15356/56273/668173/71382/74114/17527/80911/17855/74043/19305/330450/51798/110959/269951/67420/69129/14081/234384/67528/56690/208982/235674/113868/11666/50790",72
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome","106/6158","136/10623",0.779411764705882,1.34454225015761,4.74896058527079,6.74087065936563e-07,2.08846617749989e-06,4.68819951873174e-07,"108664/18173/252903/13034/66848/211329/53599/19156/11776/432486/75612/12512/11764/14667/83429/67300/11975/27419/74008/14387/27029/17775/11782/14420/19141/74325/13039/11881/11774/15212/55946/13030/100862375/211286/114128/106039/17939/11883/18174/27426/56722/16004/11984/54397/18145/11777/240283/104082/27060/16889/11305/11432/108011/19025/64138/72175/229445/13040/20661/110173/12757/114143/19063/16792/76943/12492/15932/56325/21871/110006/11769/11781/140494/58911/17113/16541/11778/11775/13032/20597/74105/94178/16783/64933/52120/11886/11593/11767/13423/11972/192654/11765/74347/50917/235380/15211/235504/13036/15587/15586/109685/12091/16784/15931/54411/108012",106
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","168/6158","229/10623",0.733624454148472,1.2655557935075,4.77083530886348,7.19633381289042e-07,2.20984763988759e-06,4.96067724409772e-07,"12859/66495/227197/67273/320718/17970/11352/66447/66052/226646/23797/13849/26408/56484/14872/66043/75406/66594/26396/66414/407790/11947/66152/13649/26420/22333/22272/26398/18806/11951/53859/71679/14784/11622/18760/18035/20663/15251/14281/11651/66694/407785/12867/18708/17993/22334/105675/18753/26419/13850/12864/66218/14083/66445/67130/29857/67942/26413/68194/11957/20655/28080/20656/18607/68342/26416/26415/78330/66416/22339/13078/20662/20463/13521/11946/225887/17995/19697/12015/19211/12675/67264/57344/68214/11949/11350/68375/228033/18024/19271/68349/12359/84682/20779/19246/67126/18805/18706/66046/73333/66377/211666/11863/18176/11950/14866/14863/14862/14865/13645/18033/230075/16476/18710/58810/595136/67680/18707/15234/26414/384214/12861/19247/19353/17992/17295/68202/109880/110157/66108/56615/16653/66091/13107/11652/12865/50490/68197/67003/70316/12862/12869/26400/22335/16150/11739/18709/15368/66916/12857/13057/50868/66925/12858/13077/13076/26395/100042295/100042314/14858/12866/74769/171429/22273/11836/11740/16151/237038",168
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","160/6158","217/10623",0.737327188940092,1.27194328160289,4.75311748773324,7.79365794728724e-07,2.37228009448129e-06,5.32530644597651e-07,"17087/15510/12043/56489/17970/14103/20339/20344/18986/20183/226641/23797/68652/26408/11783/215449/56480/13198/22433/12323/16160/26420/15525/216799/26397/26398/20296/20293/20304/20848/78943/18750/26399/238055/19878/18035/14281/12313/15519/22031/11651/70405/18708/12325/26419/50527/21933/19057/14083/17972/66513/11911/29857/266632/26413/56637/20656/18607/26416/26415/11307/15511/15516/106759/22324/12314/225164/12322/18018/19697/12015/18797/22359/16452/14102/12675/12369/22030/22325/20181/14828/21353/18024/22034/18796/16176/18795/18798/12048/20779/16803/18803/17395/21939/18019/22035/18706/16159/24088/18176/109905/57257/22329/108058/12368/18033/19055/17096/26409/19059/11303/21898/15977/230396/16476/13110/18710/12540/12371/18707/12491/18127/16193/21899/14825/20310/26414/19353/13063/67653/13666/16438/19016/12122/21937/108078/16653/12315/16801/18987/11652/54131/66824/26400/16150/12367/18709/18021/13057/16835/15481/11806/11808/13076/75600/74769/11848/16179/16151/237038",160
"Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","81/6158","100/10623",0.81,1.39730919129588,4.68782171122473,8.03384069815625e-07,2.42412410631323e-06,5.44168614795023e-07,"12912/18627/271639/70729/16524/14708/12323/432530/14799/19416/18626/18750/14813/104111/14281/12313/73086/70405/20191/14706/14702/12325/12289/239134/11514/239556/11512/11515/26413/224129/16522/58226/64337/16440/12314/11516/12322/18797/14682/19091/14810/16519/20192/18796/18795/18798/14683/14800/54195/14679/108058/18749/14700/18628/14688/14677/19092/18125/66066/11517/14701/16438/12288/14695/14709/12315/20190/18751/17773/18747/100503710/11513/14681/234889/14802/244701/16521/75600/14697/14678/53623",81
"Organismal Systems","Endocrine system","mmu04911","Insulin secretion","71/6158","86/10623",0.825581395348837,1.42418823689359,4.63832970042523,9.61006834959835e-07,2.87473596319882e-06,6.45322194074662e-07,"12912/12292/11931/27222/98660/14672/103988/12323/432530/16533/22318/11932/14607/18750/104111/12671/20191/12325/16531/12289/116838/11514/11911/11512/11515/224129/16440/12915/11516/140492/12322/18797/14682/14526/56508/11909/26427/18796/18795/18798/20614/14683/20526/72413/100502876/140493/78284/11928/108058/18749/20525/12425/20907/208647/231991/11517/12288/16534/232975/233081/68667/16514/20927/18751/19339/18747/11513/11936/11933/12424/67821",71
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","50/6158","57/10623",0.87719298245614,1.51322199620519,4.56246604576658,1.02480239145885e-06,3.03937119518138e-06,6.82279594853396e-07,"227095/11761/71724/71872/213043/56752/11671/13382/104776/11992/78038/110821/67041/268782/268860/110460/17850/110695/52538/56357/72039/15360/13171/15107/11364/72535/100470/353371/64059/15356/97212/231086/11409/11669/78894/58875/12035/12039/14204/12036/73724/93747/257633/110446/208982/12040/66904/235674/113868/15108",50
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","196/6158","273/10623",0.717948717948718,1.23851400304794,4.68853636910876,1.15493069468074e-06,3.39627924622219e-06,7.62398496042597e-07,"12859/66495/227197/12912/22145/70247/67273/12292/17970/226519/66052/226646/14360/215999/170483/66043/75406/66594/11783/66414/13198/407790/11947/66152/26420/22333/22272/69077/20304/11951/26446/22123/19184/66997/14813/71679/26443/19167/19179/16593/20191/66694/22151/73710/407785/12867/18708/17993/66413/22334/105675/12289/18753/26419/67089/19057/12274/12279/12864/66218/66445/17972/11911/67130/29857/22143/22142/67942/26413/21762/68194/56637/17968/11957/20655/28080/19170/68342/16440/26416/26415/78330/66416/12915/15511/13001/74764/20463/16573/13653/67951/11946/225887/17995/16594/12015/20867/67264/11949/12287/227613/14810/69379/18128/14828/15139/68375/19177/16574/59029/11909/228033/68349/19182/26427/20192/16175/16176/19122/12995/84682/545486/67126/26444/56436/18706/66046/73333/66377/78284/19172/19185/11950/26442/19055/18749/230075/19059/242443/18710/595136/26445/67680/12371/18707/19181/16193/26414/12861/67151/19353/20422/17992/12390/12389/68202/208647/13063/231991/13666/16438/12391/12288/22144/66108/22147/16439/66091/20190/57296/12865/68197/67003/70316/12862/12869/22335/11739/12367/18709/66916/18747/13000/17463/12857/13057/22152/12364/15481/17967/66925/12858/12866/74769/22273/11740",196
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","63/6158","75/10623",0.84,1.44906138356609,4.58314439760498,1.18661105918214e-06,3.43128364613502e-06,7.70256301574371e-07,"12043/68428/17248/26374/98376/64058/140742/71361/12534/17873/16000/11783/17246/12567/16009/12450/53892/20135/30954/23882/268697/21933/382985/107831/29813/22084/12575/12445/58801/19211/14102/67874/107986/12521/21825/12048/22401/12448/230784/55948/12371/12571/68098/12452/50883/18787/13063/13197/12122/170770/333654/12447/12443/12367/20437/75747/12649/13663/11920/12442/245000/66940/20438",63
"Organismal Systems","Digestive system","mmu04971","Gastric acid secretion","63/6158","75/10623",0.84,1.44906138356609,4.58314439760498,1.18661105918214e-06,3.43128364613502e-06,7.70256301574371e-07,"110895/11931/27222/98660/16513/16526/12323/432530/11932/18750/16517/16518/20606/11465/104111/12313/70405/12671/238564/15466/12325/11514/11512/11515/20604/107589/224129/246133/22350/16440/12314/12322/18797/14682/18796/18795/18798/228785/14683/11928/14679/108058/18749/208890/20544/14677/20535/11461/12638/16438/16439/12315/232975/18751/16535/11945/18747/213435/11513/75600/11933/14678/67821",63
NA,NA,"mmu04081","Hormone signaling","161/6158","220/10623",0.731818181818182,1.26243984174319,4.61927765525136,1.57688984924906e-06,4.5221551875159e-06,1.01513570112597e-06,"53945/16367/18159/51801/26361/72674/13982/18390/72472/20869/14708/14676/14672/16000/110312/54140/432530/11548/14607/21833/15171/20851/20850/20848/54409/12921/16416/14674/20606/14527/18976/104111/13983/13371/22355/14706/19109/28078/11607/13488/17129/18708/21834/14702/12166/11549/14714/14600/19116/18162/22045/11514/20607/207911/223864/11512/110542/11515/21832/11450/20604/224129/13490/20609/64337/11555/17202/17200/17128/18797/14682/14675/16452/19091/11551/11554/226278/11477/14526/56508/16410/14308/18796/11552/11998/11550/18795/18798/20608/14601/20779/17201/14683/12918/11608/208188/18706/55994/18160/14679/12167/18749/18619/230103/14700/16847/13370/18710/14915/14916/230777/18158/230899/18707/14688/14677/11553/13492/12425/19092/18125/76854/14673/66066/16846/12922/67653/14701/22044/18430/58991/68465/14695/14917/58807/19227/14709/16001/16337/384783/11556/18709/17125/18747/100503710/11513/14681/170732/11606/244698/13857/13489/14697/74769/14678/11848/171530/12424/22354/20502/16370",161
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","83/6158","104/10623",0.798076923076923,1.37674101231669,4.53403221692941,1.91349271574434e-06,5.44247518330563e-06,1.22172960280484e-06,"12912/381290/12292/11931/27222/98660/215303/14672/67972/12323/432530/11932/18750/18976/104111/18760/12313/70405/11607/12325/12289/11514/11911/239556/11512/11908/15370/11515/224129/58226/16440/12915/18754/12314/12326/12322/17200/18797/269060/14682/227541/18227/11909/26427/18796/18795/18798/14683/11608/78284/18160/15495/11928/108058/18749/230899/16527/109305/20778/231871/208647/231991/16438/52163/11941/12288/16439/12315/232975/16890/207728/18751/20845/18747/11513/11606/16835/16521/13070/75600/11933/67821/320707",83
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","98/6158","126/10623",0.777777777777778,1.34172350330194,4.53147703323034,2.10786079682835e-06,5.94656663820681e-06,1.33488830950191e-06,"433323/12043/11539/23797/13244/226849/26408/14360/20598/20397/26396/26420/19052/18806/18750/14674/20698/19878/104725/59032/26932/81535/20773/12062/26931/11651/13610/18708/26419/71978/29857/71949/17250/26413/51792/18607/26416/26415/21770/171168/18754/19877/72930/19697/225849/18797/14682/54447/208449/19211/22030/241447/18796/18795/18798/18805/18706/66183/18176/14679/13609/74442/18033/18201/18710/18707/18762/14677/18127/269643/26414/14673/19353/67653/110157/12122/21937/16653/11652/545975/14389/20597/18751/52432/67260/19053/11886/93898/18709/14739/94226/73699/26395/74769/235542/14678/11848/19054",98
"Genetic Information Processing","Folding, sorting and degradation","mmu03018","RNA degradation","68/6158","83/10623",0.819277108433735,1.41331288127502,4.43925344756856,2.8283552831013e-06,7.89491509711902e-06,1.77225456449813e-06,"15510/58184/12227/18641/66094/12226/72068/57316/71701/104625/69125/13808/22057/56421/210106/72198/75901/72662/18458/109075/57259/18642/74108/12228/27756/15526/18459/70640/433182/225929/227715/24128/381404/50911/241989/69639/72162/319885/66362/230721/50912/13806/231464/72587/76522/53621/67678/319618/13807/232791/67207/18983/50783/78651/214627/234594/72544/68533/69305/13209/56057/66317/353190/213550/75686/78893/66446/436199",68
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","75/6158","93/10623",0.806451612903226,1.39118796425316,4.44964160428537,2.84398958829936e-06,7.89491509711902e-06,1.77225456449813e-06,"23797/52717/12534/56371/16000/432530/67579/20868/26420/217232/66156/104111/15519/11651/268697/18708/26419/11514/29857/11512/11515/26413/224129/20112/268930/26416/26415/15516/52563/12532/208922/241634/17222/12531/18706/12428/14679/18749/17451/66440/18710/20111/71890/18707/14677/231207/52206/26414/56317/59008/17120/109880/56150/110157/16653/11652/16001/12877/75430/18817/110033/69957/18709/18747/11513/18667/26395/12442/74769/69010/14678/12530/11836/67071/110651",75
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","52/6158","61/10623",0.852459016393443,1.4705540972958,4.3282631232742,4.2202964917971e-06,1.16225625607428e-05,2.60903876685869e-06,"241113/16367/23797/15182/56484/11793/13688/93759/16000/432530/72508/74370/104111/11651/18708/105787/11514/11512/19082/11515/224129/20655/20656/15511/58988/12359/15376/18706/56458/18176/18749/108079/18710/433759/56717/18707/108099/19079/16653/11652/67605/16001/20480/16337/384783/18709/18747/11513/15481/12955/74769/16370",52
"Metabolism","Global and overview maps","mmu01232","Nucleotide metabolism","69/6158","85/10623",0.811764705882353,1.40035343790001,4.35197294857786,4.55689154539574e-06,1.24507194193096e-05,2.79494384052453e-06,"21915/171567/80914/11566/18605/209558/69692/633979/22271/103850/18103/18102/68106/50773/21877/70881/20135/22169/12499/11565/66355/66763/11534/18950/667034/105446/100862375/210808/382985/11564/79059/56520/22436/14544/56248/12495/76952/72090/68870/22245/11636/76654/110074/16434/12497/11486/68556/229363/229665/109674/229949/66588/51797/11637/22171/13178/23917/107569/27369/11717/66422/320685/57813/23959/75686/23918/54369/215446/15452",69
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","89/6158","114/10623",0.780701754385965,1.34676757662262,4.37141936948789,4.65602340367692e-06,1.26221884459054e-05,2.83343529500076e-06,"226922/12912/12043/12292/23797/14360/14708/14672/12323/432530/16515/104709/18750/16518/104111/30955/14281/11651/12671/14706/18708/14702/12325/12289/12647/11514/110862/16520/11911/11512/11515/26413/224129/16522/64337/16440/63993/12326/12322/18797/14682/16452/12287/16519/26427/213788/18796/18795/18798/11438/16536/18706/11444/78284/18176/14679/108058/18749/14700/18710/60613/18707/14688/14677/11423/66066/208647/231991/14701/16438/12288/14695/16653/16439/14709/11652/18751/16535/18709/18747/12286/100503710/11513/14681/108015/26395/14697/74769/14678",89
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism","49/6158","57/10623",0.859649122807018,1.48295755628109,4.2934197450062,4.84977421170787e-06,1.30455166780049e-05,2.92846423228382e-06,"21915/171567/80914/18605/209558/69692/633979/103149/22271/103850/18103/18102/68106/50773/21877/70881/20135/22169/12499/66763/100862375/382985/64705/22247/79059/56520/12495/76952/72090/22245/76654/110074/12497/68556/99586/66401/66588/51797/22171/69719/13178/107569/66422/320685/57813/56749/23959/54369/215446",49
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","71/6158","88/10623",0.806818181818182,1.39182032241873,4.3343430654353,5.07917133757477e-06,1.35574804164496e-05,3.0433901132027e-06,"22637/20846/12487/23797/381319/15979/26396/15978/13649/26397/72508/20848/26406/26399/18035/15251/14281/53314/11651/18708/19057/29857/26413/15980/26416/26415/13001/106759/11682/78798/18018/58988/19697/16452/19211/12675/18761/22034/19419/12995/18803/18019/18706/24088/18176/13645/18033/19055/19059/21898/16476/16451/18710/56717/18707/19247/110157/15170/12504/16653/11652/18036/16797/16150/18709/13000/18021/12501/26395/74769/16151",71
"Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism","34/6158","37/10623",0.918918918918919,1.58520228575441,4.18748428490059,5.60929698114348e-06,1.48582141408915e-05,3.33537948256021e-06,"69080/18640/15275/216019/18641/11676/79459/56421/218138/14120/14121/22122/29858/18642/54128/225913/170768/75540/230163/353204/16548/11677/14187/67861/11997/15277/21991/319801/66065/11674/234730/110119/331026/270198",34
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","103/6158","135/10623",0.762962962962963,1.31616686514381,4.34159348888228,5.70050638978093e-06,1.4985422100409e-05,3.36393519014186e-06,"108147/18582/171567/271639/11566/29863/18605/209558/69692/633979/432530/103850/237823/14919/18103/18102/50773/104111/70881/20135/12499/11565/66355/218461/66763/238871/14198/11534/18950/667034/105446/239134/100862375/210808/382985/11514/11564/11512/18574/11515/224129/14450/23984/79059/56520/224794/22436/225600/14544/56248/23972/12495/76952/73707/72090/68870/11636/241489/18573/16434/12497/11486/18583/229363/54195/18160/229589/229665/109674/242202/23971/22262/229949/66401/230103/72157/18578/11637/66681/231327/67054/13178/74167/231903/23917/18575/27369/14917/78600/18584/14918/207728/11717/11513/234889/18577/23959/75686/23918/54369/215446/15452/110639",103
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","174/6158","243/10623",0.716049382716049,1.23523751097639,4.3563553163675,5.96305664222481e-06,1.55577492846016e-05,3.49241148812533e-06,"67923/252903/12043/12767/14103/23797/22033/68652/12534/14708/26396/14672/56480/16886/11764/103583/26420/21402/26397/12928/72508/18750/26399/12632/18035/14281/12313/11651/70405/14706/19766/268697/18708/14702/26419/73181/19229/19057/14083/80287/66513/56438/29857/266632/26413/12929/224105/67673/64337/12018/16440/26416/26415/21356/14972/21355/14964/14980/15013/110557/110558/15007/15042/15040/100529082/667977/15043/14985/110696/224753/224754/224761/399549/12314/12532/72512/18018/58988/12631/19697/12015/13194/14682/14102/12675/12234/22030/22034/214230/14827/12010/241656/12048/56045/18803/18019/18706/24088/18176/14679/18033/19055/26409/19059/14700/21898/15977/230396/16476/108802/18710/12371/21938/56717/18707/14688/14677/26414/19303/16885/11769/19353/66066/26965/13063/14701/16438/110157/12122/14695/12504/21937/16653/16439/14709/12315/11652/70584/54131/18479/22390/18751/14082/26400/99375/16150/12367/18709/69550/11767/12317/100503710/14681/18021/11765/234779/12649/12501/11920/75717/75600/26395/12442/14697/245000/19823/74769/321006/14678/72584/16179/16151/18481/108012",174
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","142/6158","194/10623",0.731958762886598,1.26268235435926,4.33633364875833,6.33762124230029e-06,1.6411601276703e-05,3.68408461846207e-06,"20846/20297/12767/16963/23797/56484/14708/215449/20847/432530/94176/104709/216869/12928/20296/20292/20293/20307/20290/20304/20308/12775/20851/20848/12777/14784/104111/19878/30955/18035/20663/11651/14706/140580/20418/18708/14702/18753/19229/11514/14083/11512/11515/26413/12929/224129/56637/21844/64337/22324/20662/19877/110355/19697/12015/18797/14682/16452/12675/14773/22325/18796/271849/18795/18798/15162/20779/18803/277360/18706/20416/18176/109905/14679/57257/18033/18749/17096/14700/18710/14191/12540/18707/18762/14688/14677/14772/20311/57349/20309/14825/20310/17329/56066/55985/19303/541307/19353/66066/109880/67653/14701/110157/20315/14695/16653/14709/606496/11652/18036/18479/109689/18751/20300/16150/18709/18747/100503710/11513/20299/20312/20295/12927/234779/93742/12145/26395/14697/74769/14678/11848/12773/13051/12769/80901/23832/12768/12771/12772/22376/16151/12766",142
"Organismal Systems","Nervous system","mmu04720","Long-term potentiation","56/6158","67/10623",0.835820895522388,1.44185212295134,4.26066036114114,6.47506862486956e-06,1.66433245394795e-05,3.73610197458361e-06,"14816/26396/215449/12323/432530/14799/18750/14813/12313/70405/12325/19057/11514/11911/328572/223864/58200/12914/26413/20112/16440/12314/12326/12322/19045/18797/14682/14810/18796/18795/18798/14800/18176/109905/108058/19055/18749/19059/20111/19046/19047/434233/109880/16438/110157/12288/16653/16439/12315/18751/18747/75600/26395/11836/67071/110651",56
"Genetic Information Processing","Translation","mmu03013","Nucleocytoplasmic transport","92/6158","119/10623",0.773109243697479,1.33366994085715,4.29858449380434,6.81353165354548e-06,1.73845256160315e-05,3.90248716998735e-06,"408191/22218/226432/108989/56009/226747/69912/19386/20610/69736/103468/73192/78428/103573/66011/19069/16211/192160/16647/170930/445007/192170/21681/18949/218210/73666/238799/76582/66231/56215/75751/57258/20220/71844/16648/70572/19387/75826/16646/386612/19826/22196/53817/72322/225160/56698/72124/326622/74412/227699/227720/69482/59015/56488/110750/66679/13628/16649/97112/77595/75471/72787/17149/230673/51796/231042/67878/269113/100042165/19384/107939/320938/70699/54563/110379/320727/18226/74204/67031/19704/212999/71805/13680/234733/234865/66069/13627/68134/331401/83454/170722/237082",92
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle)","30/6158","32/10623",0.9375,1.6172560084443,4.10661595798205,7.34928740412512e-06,1.84797299219668e-05,4.14833919073424e-06,"15926/66052/14194/71832/12974/18293/17449/104112/13382/78920/68263/239017/74551/20916/11429/18563/170718/18534/18598/11428/67680/17448/56451/20917/269951/66925/235339/67834/15929/18597",30
"Cellular Processes","Transport and catabolism","mmu04136","Autophagy - other","30/6158","32/10623",0.9375,1.6172560084443,4.10661595798205,7.34928740412512e-06,1.84797299219668e-05,4.14833919073424e-06,"245860/77040/66615/11793/19052/29869/56486/56208/52639/74370/76559/66795/68118/67841/56716/225326/329015/51897/242557/56717/213948/74781/74244/57436/19053/93739/235040/75669/18518/666468",30
"Environmental Information Processing","Signal transduction","mmu04392","Hippo signaling pathway - multiple species","26/6158","27/10623",0.962962962962963,1.66118148027859,4.03965100442651,8.14515279554359e-06,2.03335828780836e-05,4.56449304710508e-06,"16798/18016/211652/64010/319710/16475/50523/56274/27373/21678/215653/329628/97064/68473/73246/232157/213391/21679/101543/21677/18479/233651/21676/22601/56289/29806",26
