"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","97/6158","116/10623",0.836206896551724,1.44251800293423,5.62772453454586,2.49379885892487e-09,1.15379760539591e-08,2.59005074470794e-09,"12912/12043/20183/20393/14672/17938/432530/13649/216869/18806/74499/18750/14674/26941/104111/14281/107889/75607/20505/17260/238871/17387/21943/11514/11911/22337/11512/20683/11515/26413/224129/240047/16440/12575/12915/12393/13653/15200/16973/18797/14682/14462/20181/18227/53416/11909/26427/18796/18795/18798/17391/14683/18805/213498/17261/12096/78284/14679/18749/17389/18578/14677/20531/23948/14673/16591/208647/109880/231991/67653/16438/110157/232341/64654/16974/16439/19227/16801/17258/75547/109689/18751/14182/16478/18747/11513/20497/17388/17386/18577/26395/14531/14678/11848/108737/11836/279561",97
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","81/6158","94/10623",0.861702127659574,1.48649913967646,5.56371275185021,2.81325522100207e-09,1.28447310748384e-08,2.88339177775835e-09,"12828/12043/19225/16782/226519/20183/23797/22033/16780/16773/16775/17873/11783/12567/22032/18126/16400/16399/16777/18035/17187/22031/11651/13557/66197/23882/27015/18708/14198/218772/19645/27401/17869/14083/12018/12575/16772/16774/19697/19211/12675/22030/20181/23928/22029/16403/16410/107986/22034/12048/13555/16776/18706/18033/12448/12579/18710/242705/22642/12371/18707/12571/13063/13197/12576/11652/12447/12443/12826/12827/16150/12367/18709/16412/11797/11796/74769/11798/16151/94216/12830",81
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","94/6158","112/10623",0.839285714285714,1.44782918851204,5.59514890527553,2.97846887829945e-09,1.34224506593495e-08,3.01307856451346e-09,"12168/16324/14264/23893/21808/15182/18119/13179/15978/380664/19052/21402/20185/72508/18121/66313/238057/15902/21809/16323/12161/15904/17129/218441/14313/12166/12159/17869/56438/328572/11479/20683/110542/12914/26413/12667/22042/68799/51792/21815/268977/68010/19877/17128/17131/17126/58988/11480/269275/11477/23892/21825/14118/15901/228839/19650/13559/20482/55994/69585/18741/12167/242316/21812/12579/230597/68777/12164/12163/433759/15903/17965/20481/50765/75788/26965/67653/21803/244058/434215/21781/19053/17125/104394/73699/20466/18007/207596/17127/17130/12160/11848/21813/11481",94
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","78/6158","90/10623",0.866666666666667,1.49506333225073,5.53883250936102,3.11070220175304e-09,1.38386367180552e-08,3.10650422307321e-09,"12292/18783/26396/14672/12323/432530/13649/26420/26397/23939/26398/18806/26406/18750/26399/14784/104111/20663/12313/70405/26401/12325/12289/18753/26419/17387/19229/14714/11514/11911/29857/11512/11515/26413/224129/26407/16440/26416/26415/20662/12314/26405/13653/15200/12322/18797/14682/14308/18796/211429/329502/78390/271844/18795/18798/20779/14683/18805/18176/108058/18749/16476/12540/26414/16438/110157/12288/16653/16439/12315/18751/26400/18747/11513/17390/75600/26395/13712",78
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","101/6158","122/10623",0.827868852459016,1.42813426756611,5.5854328528228,3.5742580474448e-09,1.56995891451056e-08,3.52425177229734e-09,"22637/17974/12487/12477/54167/16153/19264/23797/226849/14360/26396/15978/12567/26420/19052/16191/12981/53859/14784/59032/18035/20663/26932/14281/26931/11651/18708/26419/71978/19057/17444/29857/26413/13383/224105/56637/208650/51792/18607/26416/26415/21770/22324/20662/26410/72930/240354/18018/19697/225849/12675/18761/22325/19419/214230/241656/18803/18019/18706/16183/18176/57257/18033/19055/12042/26409/19059/16476/18710/12540/18707/269643/21682/26414/19247/67653/110157/15170/12504/16653/11652/70584/18036/18479/16797/52432/26400/16150/19053/18709/18021/12501/73699/26395/74769/17973/235542/11848/19054/16151/18481",101
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","130/6158","164/10623",0.792682926829268,1.36743597461957,5.56891739995813,5.44699663982920e-09,2.36263479252591e-08,5.30365462299159e-09,"20846/20849/12912/12043/56489/14103/23797/21808/110957/68652/13654/26396/11783/56480/20852/20847/26420/26397/26398/20851/20850/20848/18750/26399/14784/11799/22630/18035/20663/14281/21809/22031/11651/13557/18708/26401/26419/73181/19229/13655/19645/22631/17869/66513/11911/328572/29857/266632/12914/26413/26416/26415/12575/12915/106759/20662/17128/18018/19697/12015/13194/16452/14102/12675/71586/11909/107986/26427/22034/228607/18538/13555/20779/54401/17395/18019/18706/12428/24088/78284/18176/18033/12448/26409/230073/21812/21898/15977/230396/16476/16451/18710/242705/15530/12371/18707/16193/26414/208647/109880/13063/231991/110157/12122/16653/21803/11652/12447/54131/18751/14082/26400/22335/16150/142980/12367/18709/18021/12364/54721/17127/26395/74769/21813/13205/11836/13712/16179/54411/16151",130
"Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway","107/6158","131/10623",0.816793893129771,1.40902915341305,5.53188355064337,5.58542082990685e-09,2.39276670120701e-08,5.37129488516058e-09,"12825/12912/12828/23797/14708/26396/14676/432530/13649/26420/26398/216869/18126/12842/18750/14784/104111/18035/20663/14281/11651/14706/13614/20418/18708/14702/26419/13618/239336/11514/11911/29857/11512/11515/26413/224129/64337/26416/26415/12915/22339/20662/17126/19697/18797/19773/11475/11909/26427/18796/271849/18795/18798/20779/17395/14683/18706/381489/242093/20416/78284/18176/14679/18033/18749/21812/14700/16476/18710/18707/18762/14688/14677/18127/26414/18125/66066/12843/208647/231991/14701/110157/14695/16653/14709/21803/11652/109689/26400/12826/12827/22341/18709/18747/100503710/11513/17390/14681/17386/26395/14697/74769/14678/21813/94216/12830/14205",107
"Organismal Systems","Nervous system","mmu04730","Long-term depression","55/6158","60/10623",0.916666666666667,1.58131698603443,5.30282454356112,7.11463591838926e-09,2.98818509752546e-08,6.70789313565551e-09,"18783/14816/14687/26396/14672/16000/19052/14799/12921/18750/14674/239134/26413/51792/16440/18797/14682/19091/18796/211429/329502/78390/271844/18795/18798/14683/12918/14800/54195/18176/14679/17096/14677/19092/18125/14673/109880/19051/14804/16438/110157/16653/16439/20190/16001/18751/19053/12286/14681/234889/73699/26395/14678/11836/53623",55
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","111/6158","137/10623",0.81021897810219,1.39768694452412,5.501852587817,7.14753207765456e-09,2.98818509752546e-08,6.70789313565551e-09,"12912/16524/23797/226849/14708/12323/13195/26420/19052/14799/216869/18750/59032/26932/14281/12313/26931/11651/70405/14706/13488/14702/12325/12289/26419/71978/19057/11911/29857/12846/224129/56637/13490/16522/51792/64337/16440/26416/26415/12915/21770/12314/16573/72930/12322/14680/19045/225849/18797/14682/12287/16574/16519/11909/26427/18796/18795/18798/14683/14800/78284/14679/108058/19055/18749/14700/14688/14677/19046/269643/13492/12753/26414/19047/434233/66066/208647/231991/14701/16438/12288/14695/16439/14709/12315/606496/11652/109689/791260/11865/18751/52432/68566/19053/110877/18747/12286/100503710/14681/14802/16521/13489/73699/75600/14697/235542/14678/19054/17161/109731/53623",111
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism","101/6158","123/10623",0.821138211382114,1.41652341986232,5.45644259970094,8.61114545118106e-09,3.55722318042837e-08,7.98527272415286e-09,"227095/15926/66646/66052/14194/15275/216019/18641/71832/12974/56012/103988/18293/17449/20425/13808/11676/11430/13382/79459/104776/78920/56421/75731/14120/14121/68263/21881/239017/14661/20916/13885/110821/268782/76282/11429/18642/110460/17850/433182/107029/18563/225913/107272/104174/18648/14718/226265/12359/170718/15112/60525/236539/56185/11532/18598/11428/230163/353204/67680/110208/100198/13806/80911/14380/11409/100678/17448/19895/56451/15277/20917/13807/21991/14433/14751/73724/269951/109264/11674/93747/21351/76615/74419/66171/108682/14719/68133/66925/235339/110446/67834/72141/18746/17436/66904/19733/15929/18655/18597/110639",101
